注意：不要相信视频或者文件内的广告和二维码！谨防诈骗！谨防诈骗！谨防诈骗！,,,
文件没了或者表格中没有的资源请联系我。      邮箱：admin@daybyday.top      微信：daybyday_top,,,
为防止该链接被封导致失联，可以收藏该网址： home.daybyday.top ，里面有个资源搜索（影视剧资源搜索），打开即可访问最新链接。,,,
新增：学习资料合集（考公、考研、考编、技能、软件、硬件）       资源合集链接： https://kdocs.cn/l/cj6TVp284PsG,,,
资源名称,百度网盘,夸克网盘,
来自谁的启示（2025）,https://pan.baidu.com/s/1zyOX27hl-nCvtBsRMR_44w?pwd=a5yc,https://pan.quark.cn/s/886de0c54424,
环太平洋1-2部,https://pan.baidu.com/s/1uY8kk83FrhdvCbY9w_borg?pwd=aasg,https://pan.quark.cn/s/e91fdc890b0e,
风骚律师1-6季,https://pan.baidu.com/s/1CLxmgiuYWzH_i07kU2NX0g?pwd=yjct,https://pan.quark.cn/s/2f90a70cfbd5,
绝命毒师1-5季,https://pan.baidu.com/s/12HZh-vhG-Mzx3A7fjf2b5A?pwd=rc8g,https://pan.quark.cn/s/99566cafffb6,
怪奇物语1-4季,https://pan.baidu.com/s/1f8cvDg04xCa3lurrKXfVvA?pwd=xa3y,https://pan.quark.cn/s/c929faf909ac,
黑镜1-6季,https://pan.baidu.com/s/1kdFFUU2grSgVXCLATMsbag?pwd=cgaf,https://pan.quark.cn/s/f16a0c6cbefd,
坏姐妹1-2季,https://pan.baidu.com/s/15T_Xm8HZQSyyL4N4VEjhog?pwd=gnwv,https://pan.quark.cn/s/8989797f74df,
甲虫村1-3季,https://pan.baidu.com/s/1qGJaufT1__sCihZDJXU7_Q?pwd=cf7h,https://pan.quark.cn/s/4a9ad7b523b6,
僵尸国度1-5季,https://pan.baidu.com/s/18lLVqHp1uXT7l5SP0tGdWA?pwd=7fax,https://pan.quark.cn/s/3187cad10843,
王国1-2季,https://pan.baidu.com/s/1xn52jJuCS2O8nXRvgot97g?pwd=cy8j,https://pan.quark.cn/s/1313c316a6b0,
因果报应（2024）,https://pan.baidu.com/s/1TX-hKv0SS17qunIRtzjMqg?pwd=pjpt,https://pan.quark.cn/s/e18118369794,
零日风暴（2025）,https://pan.baidu.com/s/1szaPSZJY-mWSg4UpPOZuMQ?pwd=gq9u,https://pan.quark.cn/s/b0fc8c78aeaf,
真探1-4季,https://pan.baidu.com/s/1r6MmNTwIHS3wOD6nIZccfQ?pwd=wk5z,https://pan.quark.cn/s/85b9f540c6f1,
侠探杰克1-3季,https://pan.baidu.com/s/16i03143xKXGmpQKSflNyoA?pwd=tca9,https://pan.quark.cn/s/2fa947e5582e,
宝物岛（2025）更新到12集,https://pan.baidu.com/s/1p6eJ8CpGELzl68K8Y33Urw?pwd=49pi,https://pan.quark.cn/s/f303c0389fe6,
善意的竞争（2025）完结16集全,https://pan.baidu.com/s/1jLLYvYTbioyHKpU4duplWQ?pwd=ucb6,https://pan.quark.cn/s/a44ff654b8fc,
魔女（2025）完结10集全,https://pan.baidu.com/s/1h6tq0cSu7eAVYm6FISC1KQ?pwd=ft85,https://pan.quark.cn/s/4e053b014a5e,
新乌托邦（2025）完结8集全,https://pan.baidu.com/s/1VBPb379ZSI6VkB2vmR_2TQ?pwd=2238,https://pan.quark.cn/s/8663da62cd1f,
死了一个娱乐女记者之后,https://pan.baidu.com/s/1iNO6BUfXY7ABsWeP0VXrpQ?pwd=84aj ,https://pan.quark.cn/s/6708c883f2c0,
无耻之徒1-11季,https://pan.baidu.com/s/1PWN8B836BcXUGiPOQL4-5g?pwd=6mgv,https://pan.quark.cn/s/bd9266a48628,
黄石1-5季,https://pan.baidu.com/s/1tzHWjzlvV8hZX6z40XKLCQ?pwd=t3ym,https://pan.quark.cn/s/b583de5b4d1b,
纸钞屋1-5季,https://pan.baidu.com/s/148XfSpfQSEXLMIG-4wlRqw?pwd=irkn,https://pan.quark.cn/s/d71f467a2c00,
龙珠大魔（2024）,https://pan.baidu.com/s/1ZeV6ElvZa5WNmQMy0G_TmQ?pwd=fg2k,https://pan.quark.cn/s/c767d17509ad,
龙珠,https://pan.baidu.com/s/1jx1DgPnPgLELR8apCQb4Kg?pwd=87b4,https://pan.quark.cn/s/f94023e484bc,
双生疑云（2023）,https://pan.baidu.com/s/1raeRDWjmthbULQgYcivRPA?pwd=e7w6,https://pan.quark.cn/s/e155d8202d06,
无声的爱（2024）,https://pan.baidu.com/s/1y_1a6E7WY-A48CYMmyeFCw?pwd=t6qu,https://pan.quark.cn/s/59d9a041123a,
白莲花度假村1-2季,https://pan.baidu.com/s/1tqhF2vdHad8ZMxIsis-2Ow?pwd=4us2,https://pan.quark.cn/s/2d51a12d48b0,
白莲花度假村 第3季（2025）完结8集全,https://pan.baidu.com/s/1IBkLXJsf5rFe95cbAZEh-g?pwd=ymda,https://pan.quark.cn/s/f2265bc986d6,
猫和老鼠,https://pan.baidu.com/s/1ChxllCHTEDKm_igiuOOVGQ?pwd=i9ea,https://pan.quark.cn/s/9d135aa3d606,
幸福伽菜子的快乐杀手生活（2025）完结6集全,https://pan.baidu.com/s/1MrCgLO8lnZmGLZLNO2yP2g?pwd=c61s,https://pan.quark.cn/s/3599ec17b900,
三叉戟第2部,https://pan.baidu.com/s/1gLwEonjTPv-avSUkj4FdOg?pwd=bd5b,https://pan.quark.cn/s/b388f8d0804e,
老狗（2025）,https://pan.baidu.com/s/1xxHXpTn31kxts8zfeq3PZA?pwd=6ct9,https://pan.quark.cn/s/f64f6859871d,
速度与激情1-10部,https://pan.baidu.com/s/1LFulCKKmKDYHyESqeRl-iw?pwd=qke9,https://pan.quark.cn/s/2eaf05e5164d,
活着（1994）,https://pan.baidu.com/s/1Q8v0HES6tTWmzn2pD2I3ow?pwd=rbzb,https://pan.quark.cn/s/80a099d2985e,
星际穿越（2014）,https://pan.baidu.com/s/1Vp9swMY9gYz-fgtreoXIRw?pwd=nk7h,https://pan.quark.cn/s/d5800f7da738,
黑客帝国1（1999）,https://pan.baidu.com/s/19xKFlkZhMHZZVQrOgmL1rw?pwd=tw2m,https://pan.quark.cn/s/ae35c77ed888,
黑客帝国2：重装上阵（2003）,https://pan.baidu.com/s/1co4P1Y5OUJWo2q02Tu1stg?pwd=m9rt,https://pan.quark.cn/s/f2d023a6e6e3,
黑客帝国3：矩阵革命（2003）,https://pan.baidu.com/s/1t28qDiYzYLRF5737pwTEQw?pwd=in6d,https://pan.quark.cn/s/2908128b32e1,
黑客帝国4：矩阵重启（2021）,https://pan.baidu.com/s/1_Ztvj4tJCjQsf3CW5BZM0Q?pwd=5nk2,https://pan.quark.cn/s/b6af077d398e,
指环王3-王者无敌（2003）,https://pan.baidu.com/s/1JjBqkfmxWaKSNPZ67aCyFQ?pwd=4f66,https://pan.quark.cn/s/fef08696aeb9,
钢琴家（2002）,https://pan.baidu.com/s/1efQVa86DbgXRopdDJGXQIQ?pwd=38k6,https://pan.quark.cn/s/6dc08868ce81,
摔跤吧！爸爸（2016）,https://pan.baidu.com/s/1_iG2zFdd5lX4dNLJf6hSrA?pwd=ki59,https://pan.quark.cn/s/5ea6417b3818,
我不是药神（2018）,https://pan.baidu.com/s/1J7OYVVh9gkRoBqv3yV1MLQ?pwd=3937,https://pan.quark.cn/s/7174acf4560a,
美丽心灵（2001）,https://pan.baidu.com/s/1c8FiEenlGQ83UbWlXoBRMQ?pwd=gnv7,https://pan.quark.cn/s/44d974686d6f,
指环王：魔戒再现（2001）,https://pan.baidu.com/s/1bOGmzH-Rwkfz_M8R_jbUbw?pwd=1hc3,https://pan.quark.cn/s/02acf5c60582,
窃听风暴（2006）,https://pan.baidu.com/s/1W5HM5wHnSyFro6rOnKvRVw?pwd=8tkk,https://pan.quark.cn/s/8c10715b66e8,
素媛（2013）,https://pan.baidu.com/s/1cgt08Fff_M5NDBCSE_I2tw?pwd=xkgd,https://pan.quark.cn/s/9c8fe79406e9,
狮子王（1994）,https://pan.baidu.com/s/1S7PUEsw21ybtT_AAarSWMA?pwd=7pzg,https://pan.quark.cn/s/2ca22b494c2d,
机器人总动员（2008）,https://pan.baidu.com/s/19WRl-N6Rs4RJzPB-yNxctA?pwd=hzhb,https://pan.quark.cn/s/ebdd95e9a117,
阿甘正传（1994）,https://pan.baidu.com/s/1xg36KRI_BiMn2WEQLvvaVQ?pwd=wupr,https://pan.quark.cn/s/e0d85f330641,
楚门的世界（1998）,https://pan.baidu.com/s/1hwcsBrybfiQJJHV3-LYOkA?pwd=teqe,https://pan.quark.cn/s/a3843eb85b24,
鬼子来了（2000）,https://pan.baidu.com/s/1_rSskiNaryLDM63GcC1IFw?pwd=niiw,https://pan.quark.cn/s/9b0ae768c946,
盗梦空间（2010）,https://pan.baidu.com/s/1GH-KxBTF8qMvSyyJ6-nfKQ?pwd=kugd,https://pan.quark.cn/s/1fe3b03fa385,
大闹天空（1961）,https://pan.baidu.com/s/19FgqjEKVCpgzTxrISoGDWw?pwd=c7ir,https://pan.quark.cn/s/9a13901d3d03,
两杆大烟枪（1998）,https://pan.baidu.com/s/1FWgyBGAmZ2GQNThZ14k_Bg?pwd=9naa,https://pan.quark.cn/s/9e1cfe044e4e,
忠犬八公的故事（2010）,https://pan.baidu.com/s/12DovZFV9S4L1khi8L9LcvA?pwd=ebxk,https://pan.quark.cn/s/64f4d248e898,
教父2（1974）,https://pan.baidu.com/s/1cuSIfSo40g1ZRtN5nTICvQ?pwd=cn41,https://pan.quark.cn/s/f7e3f410f280,
蝙蝠侠：黑暗骑士（2008）,https://pan.baidu.com/s/1brZtpAq8qmcMkUploZ9X2Q?pwd=ik57,https://pan.quark.cn/s/4ef456e1c627,
本杰明·巴顿奇事（2008）,https://pan.baidu.com/s/1Dy3jd1s3_O6OC92wMQ9y3Q?pwd=jw23,https://pan.quark.cn/s/b61dd820ed9c,
死亡诗社（1989）,https://pan.baidu.com/s/1XBwwfDj4wol8ljXLKaw6dg?pwd=unhh,https://pan.quark.cn/s/5f896a08a86d,
情书（1995）,https://pan.baidu.com/s/1S4NFZhq2kfnEVrhc5nBA1Q?pwd=tjdi,https://pan.quark.cn/s/0d6c70eb1418,
哈利·波特与死亡圣器(下) （2011）,https://pan.baidu.com/s/1ADAJb7Lb8JfbCQIn8yRiWQ?pwd=2qtm,https://pan.quark.cn/s/ee3a9e2fc504,
乱世佳人（1939）,https://pan.baidu.com/s/1XdECuoFj4_LPhY_t58PD6w?pwd=w4qi,https://pan.quark.cn/s/5b7caa02a055,
辛德勒的名单（1993）,https://pan.baidu.com/s/13_YXZcSfHJQipWCruIdpPg?pwd=w9r9,https://pan.quark.cn/s/cf1ae77511da,
绿皮书（2018）,https://pan.baidu.com/s/1dfAiMmQ246-l7-O6WkacHQ?pwd=ukkb,https://pan.quark.cn/s/6409b9299f51,
飞屋环游记（2009）,https://pan.baidu.com/s/1fokk04tXLRH1guDZuZE25g?pwd=xyn4,https://pan.quark.cn/s/26402eac295f,
海蒂和爷爷（2015）,https://pan.baidu.com/s/1Vwf2G8Lf3BFGbnn_fR5EHA?pwd=7iv3,https://pan.quark.cn/s/df195ddc5753,
这个杀手不太冷（1994）,https://pan.baidu.com/s/1SM9R3yvFH5Izizd_yMO_xg?pwd=f5h1,https://pan.quark.cn/s/5c9e5a2dab4a,
霸王别姬（1993）,https://pan.baidu.com/s/1CqaQXj9-RiDONF_LzJiokQ?pwd=n8x5,https://pan.quark.cn/s/4d6cbb15f206,
